信息资源目录名称（必填项）,信息项名称,信息资源目录提供方
农作物种子生产经营备案表(经营代销种子/经营不分装种子),负责人（签章）,农业农村和水利局
农作物种子生产经营备案表(经营代销种子/经营不分装种子),联系电话,农业农村和水利局
农作物种子生产经营备案表(经营代销种子/经营不分装种子),备案日期,农业农村和水利局
农作物种子生产经营备案表(经营代销种子/经营不分装种子),备案机关,农业农村和水利局
农作物种子生产经营备案表（分支机构）,分支机构名称,农业农村和水利局
农作物种子生产经营备案表（分支机构）,统一社会信用代码,农业农村和水利局
农作物种子生产经营备案表（分支机构）,住所,农业农村和水利局
农作物种子生产经营备案表（分支机构）,负责人（签章）,农业农村和水利局
农作物种子生产经营备案表（分支机构）,种子生产经营区域,农业农村和水利局
农作物种子生产经营备案表（分支机构）,联系方式,农业农村和水利局
农作物种子生产经营备案表（分支机构）,设立企业的种子生产经营许可证编号,农业农村和水利局
农作物种子生产经营备案表（分支机构）,备案日期,农业农村和水利局
农作物种子生产经营备案表（分支机构）,备案机关（农业主管部门（盖章））,农业农村和水利局
农药经营许可证,编号,农业农村和水利局
农药经营许可证,经营者名称,农业农村和水利局
农药经营许可证,统一社会信用代码,农业农村和水利局
农药经营许可证,法定代表人,农业农村和水利局
农药经营许可证,住所,农业农村和水利局
农药经营许可证,营业场所,农业农村和水利局
农药经营许可证,仓储场所,农业农村和水利局
农药经营许可证,经营范围,农业农村和水利局
农药经营许可证,分支机构,农业农村和水利局
农药经营许可证,有效期,农业农村和水利局
农药经营许可证,发证机关,农业农村和水利局
农药经营许可证,日期,农业农村和水利局
农药经营许可证,编号,农业农村和水利局
农药经营许可证,经营者名称,农业农村和水利局
农药经营许可证,统一社会信用代码,农业农村和水利局
农药经营许可证,法定代表人,农业农村和水利局
农药经营许可证,住所,农业农村和水利局
农药经营许可证,营业场所,农业农村和水利局
农药经营许可证,仓储场所,农业农村和水利局
农药经营许可证,经营范围,农业农村和水利局
农药经营许可证,分支机构,农业农村和水利局
农药经营许可证,有效期,农业农村和水利局
农药经营许可证,发证机关,农业农村和水利局
农药经营许可证,日期,农业农村和水利局
农药经营许可证,编号,农业农村和水利局
农药经营许可证,经营者名称,农业农村和水利局
农药经营许可证,统一社会信用代码,农业农村和水利局
农药经营许可证,法定人,农业农村和水利局
农药经营许可证,住所,农业农村和水利局
农药经营许可证,营业场所,农业农村和水利局
农药经营许可证,仓储场所,农业农村和水利局
农药经营许可证,经营范围,农业农村和水利局
农药经营许可证,分支机构,农业农村和水利局
农药经营许可证,有效期,农业农村和水利局
农药经营许可证,发证机关,农业农村和水利局
农药经营许可证,日期,农业农村和水利局
农村小额贷款公司停业或终止,姓名,地方金融监督管理局
农村小额贷款公司开业,姓名,地方金融监督管理局
农村小额贷款公司股权变更,姓名,地方金融监督管理局
农村小额贷款公司筹建,姓名,地方金融监督管理局
年度核验,企业名称,新闻出版局
年度核验,成立日期,新闻出版局
年度核验,经营地址,新闻出版局
年度核验,统一社会信用代码,新闻出版局
年度核验,发证日期,新闻出版局
年度核验,有效期,新闻出版局
年度核验,经营出版物种类,新闻出版局
内地居民往来港澳通行证件,个人信息,公安局
内地居民往来港澳通行证件,签发日期,公安局
内地居民往来港澳通行证件,签注日期,公安局
纳入备案,单位信息,公安局
纳入备案,废旧金属种类,公安局
纳入备案,爆破作业单位名称,公安局
纳入备案,爆破作业单位法人,公安局
纳入备案,作业范围,公安局
纳入备案,企业名称,公安局
纳入备案,企业法人,公安局
纳入备案,管制刀具规格及数量,公安局
纳入备案,管制刀具图片,公安局
纳入备案,企业名称,公安局
纳入备案,射钉弹品种规格,公安局
纳入备案,企业法人,公安局
母婴保健技术人员合格证书或在医师执业证书备注母婴保健技术资格,母婴保健服务人员资格认定,卫生健康委员会
母婴保健技术服务执业许可证,母婴保健技术服务执业许可证,卫生健康委员会
民用爆炸物品购买许可证,申请单位信息,公安局
民用爆炸物品购买许可证,爆炸物品种类,公安局
民用爆炸物品购买许可证,爆炸物品用途,公安局
民间统计调查组织代理政府统计调查活动的委托合同备案,民间统计调查组织代理政府统计调查活动的委托合同备案,统计局
民办非企业单位登记证书,统一社会信用代码,民政局
民办非企业单位登记证书,发证机关,民政局
民办非企业单位登记证书,发证日期,民政局
民办非企业单位登记证书,有效期限,民政局
民办非企业单位登记证书,名称,民政局
民办非企业单位登记证书,住所,民政局
民办非企业单位登记证书,法定代表人,民政局
民办非企业单位登记证书,开办资金,民政局
民办非企业单位登记证书,业务主管单位,民政局
民办非企业单位登记证书,统一社会信用代码,民政局
民办非企业单位登记证书,发证机关,民政局
民办非企业单位登记证书,发证日期,民政局
民办非企业单位登记证书,有效期限,民政局
民办非企业单位登记证书,名称,民政局
民办非企业单位登记证书,住所,民政局
民办非企业单位登记证书,法定代表人,民政局
民办非企业单位登记证书,开办资金,民政局
民办非企业单位登记证书,业务主管单位,民政局
民办非企业单位登记证书,统一社会信用代码,民政局
民办非企业单位登记证书,发证机关,民政局
民办非企业单位登记证书,发证日期,民政局
民办非企业单位登记证书,有效期限,民政局
民办非企业单位登记证书,名称,民政局
民办非企业单位登记证书,住所,民政局
民办非企业单位登记证书,法定代表人,民政局
民办非企业单位登记证书,开办资金,民政局
民办非企业单位登记证书,业务主管单位,民政局
民办非企业单位登记证书,统一社会信用代码,民政局
民办非企业单位登记证书,发证机关,民政局
民办非企业单位登记证书,发证日期,民政局
民办非企业单位登记证书,有效期限,民政局
民办非企业单位登记证书,名称,民政局
民办非企业单位登记证书,住所,民政局
民办非企业单位登记证书,法定代表人,民政局
民办非企业单位登记证书,开办资金,民政局
民办非企业单位登记证书,业务主管单位,民政局
民办非企业单位登记证书,统一社会信用代码,民政局
民办非企业单位登记证书,发证机关,民政局
民办非企业单位登记证书,发证日期,民政局
民办非企业单位登记证书,有效期限,民政局
民办非企业单位登记证书,名称,民政局
民办非企业单位登记证书,住所,民政局
民办非企业单位登记证书,法定代表人,民政局
民办非企业单位登记证书,开办资金,民政局
民办非企业单位登记证书,业务主管单位,民政局
民办非企业单位登记证书,统一社会信用代码,民政局
民办非企业单位登记证书,发证机关,民政局
民办非企业单位登记证书,发证日期,民政局
民办非企业单位登记证书,有效期限,民政局
民办非企业单位登记证书,名称,民政局
民办非企业单位登记证书,住所,民政局
民办非企业单位登记证书,法定代表人,民政局
民办非企业单位登记证书,开办资金,民政局
民办非企业单位登记证书,业务主管单位,民政局
民办非企业单位登记证书,统一社会信用代码,民政局
民办非企业单位登记证书,发证机关,民政局
民办非企业单位登记证书,发证日期,民政局
民办非企业单位登记证书,有效期限,民政局
民办非企业单位登记证书,名称,民政局
民办非企业单位登记证书,住所,民政局
民办非企业单位登记证书,法定代表人,民政局
民办非企业单位登记证书,开办资金,民政局
民办非企业单位登记证书,业务主管单位,民政局
临时住宿登记表,个人信息,公安局
临时住宿登记表,签发日期,公安局
临时住宿登记表,有效期,公安局
临时占道路以及摆摊经营许可决定书,许可单位,城市管理局（综合行政执法局）
临时占道路以及摆摊经营许可决定书,许可决定书编号,城市管理局（综合行政执法局）
临时占道路以及摆摊经营许可决定书,申请单位名称,城市管理局（综合行政执法局）
临时占道路以及摆摊经营许可决定书,许可适用条款,城市管理局（综合行政执法局）
临时占道路以及摆摊经营许可决定书,许可内容：具体事项、地址、时限、要求、备注,城市管理局（综合行政执法局）
临时占道路以及摆摊经营许可决定书,单位落款,城市管理局（综合行政执法局）
临时占道路以及摆摊经营许可决定书,许可日期,城市管理局（综合行政执法局）
临时用地批准书,临时用地审批,自然资源和规划局
临时性建筑物搭建、堆放物料、占道施工行政许可决定书,审批单位,城市管理局（综合行政执法局）
临时性建筑物搭建、堆放物料、占道施工行政许可决定书,许可决定编号,城市管理局（综合行政执法局）
临时性建筑物搭建、堆放物料、占道施工行政许可决定书,申请单位名称,城市管理局（综合行政执法局）
临时性建筑物搭建、堆放物料、占道施工行政许可决定书,审批适用条款,城市管理局（综合行政执法局）
临时性建筑物搭建、堆放物料、占道施工行政许可决定书,审批内容：事项地址、许可时限、事项要求,城市管理局（综合行政执法局）
临时性建筑物搭建、堆放物料、占道施工行政许可决定书,落款单位,城市管理局（综合行政执法局）
临时性建筑物搭建、堆放物料、占道施工行政许可决定书,审批日期,城市管理局（综合行政执法局）
列入名录,收购单位信息,公安局
列入名录,废旧金属种类,公安局
列入名录,人员信息,公安局
列入名录,事实情况,公安局
列入名录,询问结果,公安局
列入名录,单位名称,公安局
列入名录,单位法人,公安局
列入名录,业务范围,公安局
口头或书面答复,咨询人,民族宗教事务局
口头或书面答复,咨询事项,民族宗教事务局
口头或书面答复,答复内容,民族宗教事务局
口头或书面答复,咨询人,民族宗教事务局
口头或书面答复,咨询事项,民族宗教事务局
口头或书面答复,答复内容,民族宗教事务局
口头或书面答复,咨询人,民族宗教事务局
口头或书面答复,咨询事项,民族宗教事务局
口头或书面答复,答复内容,民族宗教事务局
口头或书面答复,咨询人,民族宗教事务局
口头或书面答复,咨询事项,民族宗教事务局
口头或书面答复,答复内容,民族宗教事务局
口头或书面答复,咨询人,民族宗教事务局
口头或书面答复,咨询事项,民族宗教事务局
口头或书面答复,答复内容,民族宗教事务局
口头或书面答复,咨询人,民族宗教事务局
口头或书面答复,咨询事项,民族宗教事务局
口头或书面答复,答复内容,民族宗教事务局
口头或书面答复,咨询人,民族宗教事务局
口头或书面答复,咨询事项,民族宗教事务局
口头或书面答复,答复内容,民族宗教事务局
科技小额贷款公司停业或终止,姓名,地方金融监督管理局
科技小额贷款公司开业,姓名,地方金融监督管理局
科技小额贷款公司股权变更,姓名,地方金融监督管理局
科技小额贷款公司筹建,姓名,地方金融监督管理局
剧毒化学品购买许可证,申请人信息,公安局
剧毒化学品购买许可证,剧毒化学品种类及数量,公安局
剧毒化学品购买许可证,剧毒化学品用途说明,公安局
剧毒化学品购买许可证,经办人身份,公安局
居民身份证,姓名,公安局
居民身份证,出身日期,公安局
居民身份证,民族,公安局
居民身份证,户籍地,公安局
居民身份证,性别,公安局
居民户口簿,姓名,公安局
居民户口簿,出生日期,公安局
居民户口簿,民族,公安局
居民户口簿,户籍地,公安局
居民户口簿,性别,公安局
居民户口簿,与户主关系,公安局
居民户口簿,迁入迁出记录与事由,公安局
居民户口簿,新生儿姓名,公安局
居民户口簿,新生儿性别,公安局
居民户口簿,新生儿出生日期,公安局
居民户口簿,新生儿民族,公安局
居民户口簿,新生儿籍贯,公安局
经济援助,农村留守老年人关爱服务,民政局
金属冶炼建设项目安全设施设计审查意见书,建设单位全称,应急管理局
金属冶炼建设项目安全设施设计审查意见书,建设项目简要情况,应急管理局
金属冶炼建设项目安全设施设计审查意见书,建设项目审查意见,应急管理局
金属冶炼建设项目安全设施设计审查意见书,审查部门全称,应急管理局
金属冶炼建设项目安全设施设计审查意见书,审查时间,应急管理局
解除限制生产、停产整治,企业名称,生态环境局
解除限制生产、停产整治,时间,生态环境局
解除限制生产、停产整治,企业名称,生态环境局
结果告知书,结果告知书,教育体育局
教师资格证书,姓名,教育体育局
教师资格证书,性别,教育体育局
教师资格证书,出生年月,教育体育局
教师资格证书,民族,教育体育局
教师资格证书,身份证号,教育体育局
教师资格证书,资格种类,教育体育局
教师资格证书,任教学科,教育体育局
教师资格证书,证书号码,教育体育局
交易场所（不含“交易所”字样）修改章程、交易规则及管理制度,姓名,地方金融监督管理局
交易场所（不含“交易所”字样）设立分支机构,姓名,地方金融监督管理局
交易场所（不含“交易所”字样）名称、注册资本金、营业地址及法定代表人变更,姓名,地方金融监督管理局
交易场所（不含“交易所”字样）开业,姓名,地方金融监督管理局
交易场所（不含“交易所”字样）交易品种上市、中止、取消或恢复,姓名,地方金融监督管理局
交易场所（不含“交易所”字样）合并或分立、停业、终止经营,姓名,地方金融监督管理局
交易场所（不含“交易所”字样）高管任职资格审核,姓名,地方金融监督管理局
交易场所（不含“交易所”字样）对外投资与担保,姓名,地方金融监督管理局
交易场所（不含“交易所”字样）筹建,姓名,地方金融监督管理局
交易场所（不含“交易所”字样）持有5%以上股权的股东变更,姓名,地方金融监督管理局
奖励证书,奖励证书,教育体育局
奖励文件,批文,市政和绿化管理局
奖励通知,对在野生动物资源保护、科学研究和驯养繁殖方面成绩显著的单位和个人的奖励,自然资源和规划局
奖励通知,对在野生植物资源保护、科学研究、培育利用和宣传教育方面成绩显著的单位和个人的奖励,自然资源和规划局
奖励通知,对在森林病虫害防治工作中作出显著成绩的单位和个人的奖励,自然资源和规划局
奖励,奖励人员信息,公安局
奖励,奖励事由,公安局
奖励,奖励机关,公安局
奖励,奖励人员信息,公安局
奖励,奖励事由,公安局
奖励,奖励机关,公安局
江苏省投资项目备案证,备案证号,行政审批局
江苏省投资项目备案证,项目名称,行政审批局
江苏省投资项目备案证,项目法人单位,行政审批局
江苏省投资项目备案证,项目代码,行政审批局
江苏省投资项目备案证,法人单位经济类型,行政审批局
江苏省投资项目备案证,建设地点,行政审批局
江苏省投资项目备案证,项目总投资,行政审批局
江苏省投资项目备案证,建设性质,行政审批局
江苏省投资项目备案证,计划开工时间,行政审批局
江苏省投资项目备案证,建设规模及内容,行政审批局
江苏省投资项目备案证,项目法人单位承诺,行政审批局
江苏省投资项目备案证,安全生产要求,行政审批局
江苏省投资项目备案证,日期,行政审批局
江苏省投资项目备案证,项目名称,行政审批局
江苏省投资项目备案证,项目法人单位,行政审批局
江苏省投资项目备案证,备案证号,行政审批局
江苏省投资项目备案证,项目代码,行政审批局
江苏省投资项目备案证,法人单位经济类型,行政审批局
江苏省投资项目备案证,建设地点,行政审批局
江苏省投资项目备案证,项目总投资,行政审批局
江苏省投资项目备案证,建设性质,行政审批局
江苏省投资项目备案证,计划开工时间,行政审批局
江苏省投资项目备案证,建设规模及内容,行政审批局
江苏省投资项目备案证,项目法人单位承诺,行政审批局
江苏省投资项目备案证,安全生产要求,行政审批局
江苏省投资项目备案证,日期,行政审批局
江苏省居住证,姓名,公安局
江苏省居住证,性别,公安局
江苏省居住证,户籍地,公安局
江苏省居住证,居住的,公安局
江苏省居住证,有效期限,公安局
江苏省高等学校毕业生学费补偿受理通知书,江苏省高等学校毕业生学费补偿受理通知,教育体育局
江苏省单用途商业预付卡备案确认书,名称,商务局
江苏省单用途商业预付卡备案确认书,备案号,商务局
建筑垃圾弃置场地设置许可决定书,许可单位名称,城市管理局（综合行政执法局）
建筑垃圾弃置场地设置许可决定书,许可决定书编号,城市管理局（综合行政执法局）
建筑垃圾弃置场地设置许可决定书,申请单位名称,城市管理局（综合行政执法局）
建筑垃圾弃置场地设置许可决定书,许可内容：事项名称、地址、时限、要求,城市管理局（综合行政执法局）
建筑垃圾弃置场地设置许可决定书,许可单位落款,城市管理局（综合行政执法局）
建筑垃圾弃置场地设置许可决定书,许可日期,城市管理局（综合行政执法局）
建筑垃圾处置核准行政许可决定书,审批单位名称,城市管理局（综合行政执法局）
建筑垃圾处置核准行政许可决定书,许可决定编号,城市管理局（综合行政执法局）
建筑垃圾处置核准行政许可决定书,申请单位名称,城市管理局（综合行政执法局）
建筑垃圾处置核准行政许可决定书,申请内容：事项、地点、时限、要求,城市管理局（综合行政执法局）
建筑垃圾处置核准行政许可决定书,许可单位落款,城市管理局（综合行政执法局）
建筑垃圾处置核准行政许可决定书,许可日期,城市管理局（综合行政执法局）
建设项目用地预审意见,建设项目用地预审,自然资源和规划局
建设工程规划核验合格书（或建设工程规划核实合格证）,建设工程规划核实（建筑工程、市政工程）,自然资源和规划局
计划生育手术并发症鉴定结论通知书,标题,卫生健康委员会
计划生育手术并发症鉴定结论通知书,正文,卫生健康委员会
集体建设用地审查意见书,乡（镇）村公共设施、公益事业使用集体建设用地审批,自然资源和规划局
集体建设用地审查意见书,乡（镇）村企业使用集体建设用地审批,自然资源和规划局
基金会法人登记证书,统一社会信用代码,民政局
基金会法人登记证书,发证机关,民政局
基金会法人登记证书,发证日期,民政局
基金会法人登记证书,有效期限,民政局
基金会法人登记证书,名称,民政局
基金会法人登记证书,住所,民政局
基金会法人登记证书,法定代表人,民政局
基金会法人登记证书,开办资金,民政局
基金会法人登记证书,业务主管单位,民政局
基金会法人登记证书,统一社会信用代码,民政局
基金会法人登记证书,发证机关,民政局
基金会法人登记证书,发证日期,民政局
基金会法人登记证书,有效期限,民政局
基金会法人登记证书,名称,民政局
基金会法人登记证书,住所,民政局
基金会法人登记证书,法定代表人,民政局
基金会法人登记证书,开办资金,民政局
基金会法人登记证书,业务主管单位,民政局
基金会法人登记证书,统一社会信用代码,民政局
基金会法人登记证书,发证机关,民政局
基金会法人登记证书,发证日期,民政局
基金会法人登记证书,有效期限,民政局
基金会法人登记证书,名称,民政局
基金会法人登记证书,住所,民政局
基金会法人登记证书,法定代表人,民政局
基金会法人登记证书,开办资金,民政局
基金会法人登记证书,业务主管单位,民政局
基金会法人登记证书,统一社会信用代码,民政局
基金会法人登记证书,发证机关,民政局
基金会法人登记证书,发证日期,民政局
基金会法人登记证书,有效期限,民政局
基金会法人登记证书,名称,民政局
基金会法人登记证书,住所,民政局
基金会法人登记证书,法定代表人,民政局
基金会法人登记证书,开办资金,民政局
基金会法人登记证书,业务主管单位,民政局
基金会法人登记证书,统一社会信用代码,民政局
基金会法人登记证书,发证机关,民政局
基金会法人登记证书,发证日期,民政局
基金会法人登记证书,有效期限,民政局
基金会法人登记证书,名称,民政局
基金会法人登记证书,住所,民政局
基金会法人登记证书,法定代表人,民政局
基金会法人登记证书,开办资金,民政局
基金会法人登记证书,业务主管单位,民政局
婚姻登记证,持证人,民政局
婚姻登记证,登记日期,民政局
婚姻登记证,结婚证字号,民政局
婚姻登记证,姓名,民政局
婚姻登记证,性别,民政局
婚姻登记证,国籍,民政局
婚姻登记证,出生日期,民政局
婚姻登记证,身份证件号,民政局
华侨的暂住登记,个人信息,公安局
华侨的暂住登记,签发日期,公安局
华侨的暂住登记,有效期,公安局
护照,个人信息,公安局
护照,签发日期,公安局
护照,有效期,公安局
户外广告设施设置行政许可决定书,许可决定编号,城市管理局（综合行政执法局）
户外广告设施设置行政许可决定书,申请单位名称,城市管理局（综合行政执法局）
户外广告设施设置行政许可决定书,适用法律条款,城市管理局（综合行政执法局）
户外广告设施设置行政许可决定书,审批内容、事项地址、具体位置、设置尺寸、材料、内容、有效期限,城市管理局（综合行政执法局）
户外广告设施设置行政许可决定书,审批单位,城市管理局（综合行政执法局）
户外广告设施设置行政许可决定书,许可日期,城市管理局（综合行政执法局）
户外广告（临时张挂、张贴宣传品）设置的行政许可决定书,审批单位,城市管理局（综合行政执法局）
户外广告（临时张挂、张贴宣传品）设置的行政许可决定书,许可决定编号,城市管理局（综合行政执法局）
户外广告（临时张挂、张贴宣传品）设置的行政许可决定书,申请单位名称,城市管理局（综合行政执法局）
户外广告（临时张挂、张贴宣传品）设置的行政许可决定书,审批适用条款,城市管理局（综合行政执法局）
户外广告（临时张挂、张贴宣传品）设置的行政许可决定书,审批内容：事项、地点、时限、要求,城市管理局（综合行政执法局）
户外广告（临时张挂、张贴宣传品）设置的行政许可决定书,单位落款,城市管理局（综合行政执法局）
户外广告（临时张挂、张贴宣传品）设置的行政许可决定书,审批日期,城市管理局（综合行政执法局）
户外广告（临时性公益广告）设置的行政许可决定书,审批单位,城市管理局（综合行政执法局）
户外广告（临时性公益广告）设置的行政许可决定书,许可决定书编号,城市管理局（综合行政执法局）
户外广告（临时性公益广告）设置的行政许可决定书,申请单位,城市管理局（综合行政执法局）
户外广告（临时性公益广告）设置的行政许可决定书,审批适用法律条款,城市管理局（综合行政执法局）
户外广告（临时性公益广告）设置的行政许可决定书,审批内容：设置地址、类型、结构、具体位置、尺寸、材料,城市管理局（综合行政执法局）
户外广告（临时性公益广告）设置的行政许可决定书,许可有限期限,城市管理局（综合行政执法局）
户外广告（临时性公益广告）设置的行政许可决定书,提醒事项,城市管理局（综合行政执法局）
户外广告（临时性公益广告）设置的行政许可决定书,审批单位落款,城市管理局（综合行政执法局）
户外广告（临时性公益广告）设置的行政许可决定书,审批日期,城市管理局（综合行政执法局）
互联网上网服务营业场所信息网络安全承诺书,申请人信息,公安局
互联网上网服务营业场所信息网络安全承诺书,网络安全承诺内容,公安局
互联网上网服务营业场所信息网络安全承诺书,受理机关签章,公安局
核准意见,标题,卫生健康委员会
核准意见,正文,卫生健康委员会
核准意见,核准单位,卫生健康委员会
核准意见,核准日期,卫生健康委员会
核准批复（省级部门不再行使，委托设区市工业和信息化部门实施）,关于xxx项目的核准通知,行政审批局
核准批复（省级部门不再行使，委托设区市工业和信息化部门实施）,文号,行政审批局
核准批复（省级部门不再行使，委托设区市工业和信息化部门实施）,日期,行政审批局
核准批复（省级部门不再行使，委托设区市工业和信息化部门实施）,抄送,行政审批局
核准批复（省级部门不再行使，委托设区市工业和信息化部门实施）,机关名称,行政审批局
规划条件及附图,规划条件,自然资源和规划局
管制刀具认定书,刀具外形描述,公安局
管制刀具认定书,刀具图片,公安局
管制刀具认定书,认定结论,公安局
关于准予**管道竣工测量图备案的通知,标题,发展和改革委员会
关于准予**管道竣工测量图备案的通知,正文,发展和改革委员会
关于准予**管道竣工测量图备案的通知,审批单位,发展和改革委员会
关于准予**管道竣工测量图备案的通知,日期,发展和改革委员会
关于终止……的批复,批复,教育体育局
关于印发XX项目竣工验收意见书的通知,标题,发展和改革委员会
关于印发XX项目竣工验收意见书的通知,正文,发展和改革委员会
关于印发XX项目竣工验收意见书的通知,验收单位,发展和改革委员会
关于印发XX项目竣工验收意见书的通知,日期,发展和改革委员会
关于文物保护单位建设控制地带的划定并公布批文,基本信息,文化和旅游局
关于同意省级文物保护单位转让（抵押或改变用途）复函,基本信息,文化和旅游局
关于同意设立……的批复,名称,教育体育局
关于同意设立……的批复,地址,教育体育局
关于同意设立……的批复,校长,教育体育局
关于同意设立……的批复,举办者,教育体育局
关于同意设立……的批复,学校类型,教育体育局
关于同意设立……的批复,办学内容,教育体育局
关于同意设立……的批复,主管部门,教育体育局
关于同意设立……的批复,有效期限,教育体育局
关于同意设立……的批复,备注,教育体育局
关于同意建设农村公益性墓地的批复,农村公益性墓地审批,民政局
关于同意建设殡仪馆的批复,建设殡仪馆、火葬场的审批,民政局
关于同意建设殡仪服务站、骨灰堂的批复,建设殡仪服务站、骨灰堂的审批,民政局
关于同意对**管道事故应急预案备案的通知,标题,发展和改革委员会
关于同意对**管道事故应急预案备案的通知,正文,发展和改革委员会
关于同意对**管道事故应急预案备案的通知,审批单位,发展和改革委员会
关于同意对**管道事故应急预案备案的通知,日期,发展和改革委员会
关于同意对**管道安全防护措施备案的通知,标题,发展和改革委员会
关于同意对**管道安全防护措施备案的通知,正文,发展和改革委员会
关于同意对**管道安全防护措施备案的通知,审批单位,发展和改革委员会
关于同意对**管道安全防护措施备案的通知,日期,发展和改革委员会
关于同意变更……的批复,批复,教育体育局
关于同意XXXX的批复,适龄儿童少年因故要延缓、免于或中断义务教育学业批复,教育体育局
关于同意**项目受限制区域施工保护方案的批复,标题,发展和改革委员会
关于同意**项目受限制区域施工保护方案的批复,正文,发展和改革委员会
关于同意**项目受限制区域施工保护方案的批复,审批单位,发展和改革委员会
关于同意**项目受限制区域施工保护方案的批复,日期,发展和改革委员会
关于同意**项目受限制区域施工保护方案的批复,标题,发展和改革委员会
关于同意**项目受限制区域施工保护方案的批复,正文,发展和改革委员会
关于同意**项目受限制区域施工保护方案的批复,审批单位,发展和改革委员会
关于同意**项目受限制区域施工保护方案的批复,日期,发展和改革委员会
关于确认XX医院复核评价和评审结果的通知,标题,卫生健康委员会
关于确认XX医院复核评价和评审结果的通知,正文,卫生健康委员会
关于批准XXX学校招生简章和广告的通知,关于批准XXX学校招生简章和广告的通知,教育体育局
关于对在义务植树工作中做出显著成绩的给予表彰和奖励的通知,批文,市政和绿化管理局
关于撤销×××、×××与××× 收养登记决定书,关于撤销×××、×××与××× 收养登记决定书,民政局
关于拆除或者闲置XXX海洋工程环境保护设施的批复,地点,生态环境局
关于拆除或者闲置XXX海洋工程环境保护设施的批复,数量,生态环境局
关于拆除或者闲置XXX海洋工程环境保护设施的批复,日期,生态环境局
关于拆除或者闲置XXX海洋工程环境保护设施的批复,原因,生态环境局
关于表彰在动物防疫工作、动物防疫科学研究中做出突出成绩和贡献单位和个人的奖励通知,文件,农业农村和水利局
关于表彰全省社区矫正机构先进集体和先进个人的决定,名单,司法局
关于╳╳╳的批复（意见）,文物保护单位,文化和旅游局
关于╳╳╳的批复（意见）,文保单位,文化和旅游局
关于╳╳╳的批复（意见）,基本信息,文化和旅游局
关于╳╳╳的批复（意见）,基本信息,文化和旅游局
关于╳╳╳的批复（意见）,文件名,文化和旅游局
关于XX项目核准的批复,关于XX项目核准的批复,行政审批局
关于xx节能评估报告审查的意见,关于xx节能评估报告审查的意见,行政审批局
关于xx节能评估报告审查的意见,日期,行政审批局
关于xx节能评估报告审查的意见,抄送单位,行政审批局
关于xx节能评估报告审查的意见,文号,行政审批局
关于xx节能评估报告审查的意见,单位名称,行政审批局
关于XX节能报告的审查意见,关于XX节能报告的审查意见,行政审批局
关于XX节能报告的审查意见,文号,行政审批局
关于XX节能报告的审查意见,抄送单位,行政审批局
关于XX节能报告的审查意见,单位名称,行政审批局
关于XX节能报告的审查意见,日期,行政审批局
关于XXX申诉的答复,答复,教育体育局
关于XXXX项目（工程）环境影响报告书的审批意见,关于XXXX项目（工程）环境影响报告书的审批意见,行政审批局
关于XXXX项目（工程）环境影响报告表的审批意见,关于XXXX项目（工程）环境影响报告书的审批意见,行政审批局
关于**年度耕地保护激励单位的公告,对永久基本农田保护的奖励,自然资源和规划局
关于**的验收报告,土地复垦验收确认（ 生产建设周期不超过五年/生产建设周期超过五年的阶段验收）,自然资源和规划局
关于***的批复（意见）,基本信息,文化和旅游局
关闭、闲置或者拆除生活垃圾处置的设施、场所许可决定书,审批单位,城市管理局（综合行政执法局）
关闭、闲置或者拆除生活垃圾处置的设施、场所许可决定书,许可决定编号,城市管理局（综合行政执法局）
关闭、闲置或者拆除生活垃圾处置的设施、场所许可决定书,申请单位名称,城市管理局（综合行政执法局）
关闭、闲置或者拆除生活垃圾处置的设施、场所许可决定书,许可内容：事项地址、时限、要求,城市管理局（综合行政执法局）
关闭、闲置或者拆除生活垃圾处置的设施、场所许可决定书,审批单位落款,城市管理局（综合行政执法局）
关闭、闲置或者拆除生活垃圾处置的设施、场所许可决定书,许可日期,城市管理局（综合行政执法局）
关闭、闲置或者拆除生活垃圾处置的设施、场所许可决定书,许可适用条款,城市管理局（综合行政执法局）
关闭、闲置、拆除城市环卫设施许可决定书,审批单位名称,城市管理局（综合行政执法局）
关闭、闲置、拆除城市环卫设施许可决定书,许可决定编号,城市管理局（综合行政执法局）
关闭、闲置、拆除城市环卫设施许可决定书,申请单位名称,城市管理局（综合行政执法局）
关闭、闲置、拆除城市环卫设施许可决定书,许可适用条款,城市管理局（综合行政执法局）
关闭、闲置、拆除城市环卫设施许可决定书,审批内容：申请事项、事项地址、时限、要求,城市管理局（综合行政执法局）
关闭、闲置、拆除城市环卫设施许可决定书,许可单位落款,城市管理局（综合行政执法局）
关闭、闲置、拆除城市环卫设施许可决定书,许可日期,城市管理局（综合行政执法局）
股权出质注销/撤销登记通知书,质权登记编号,行政审批局
股权出质注销/撤销登记通知书,出质股权所在公司,行政审批局
股权出质注销/撤销登记通知书,出质股权数额,行政审批局
股权出质注销/撤销登记通知书,出质人,行政审批局
股权出质注销/撤销登记通知书,质权人,行政审批局
股权出质设立登记通知书,质权登记编号,行政审批局
股权出质设立登记通知书,出质股权所在公司,行政审批局
股权出质设立登记通知书,出质股权数额,行政审批局
股权出质设立登记通知书,出质人,行政审批局
股权出质设立登记通知书,质权人,行政审批局
股权出质变更登记通知书,质权登记编号,行政审批局
股权出质变更登记通知书,出质股权所在公司,行政审批局
股权出质变更登记通知书,出质股权数额,行政审批局
